institute_id,institute_name,year,rank,GPHD,image_path,notes
IR-E-U-0496,Aligarh Muslim University,2023,32,5.66,2023\032_Aligarh_Muslim_University\scores.png,
IR-E-U-0184,Indian Institute of Technology Mandi,2023,33,7.45,2023\033_Indian_Institute_of_Technology_Mandi\scores.png,
IR-E-U-0476,Shanmugha Arts Science Technology & Research Academy,2023,34,6.82,2023\034_Shanmugha_Arts_Science_Technology_&_Research_Academy\scores.png,
IR-E-U-0584,"Indian Institute of Engineering Science and Technology, Shibpur",2023,35,10.72,"2023\035_Indian_Institute_of_Engineering_Science_and_Technology,_Shibpur\scores.png",
IR-E-U-0458,Kalasalingam Academy of Research and Education,2023,36,8.00,2023\036_Kalasalingam_Academy_of_Research_and_Education\scores.png,
IR-E-U-0410,Malaviya National Institute of Technology,2023,37,8.08,2023\037_Malaviya_National_Institute_of_Technology\scores.png,
IR-E-U-0747,Chandigarh University,2023,38,7.94,2023\038_Chandigarh_University\scores.png,
IR-E-U-0356,Kalinga Institute of Industrial Technology,2023,39,10.44,2023\039_Kalinga_Institute_of_Industrial_Technology\scores.png,
IR-E-U-0055,National Institute of Technology Silchar,2023,40,6.79,2023\040_National_Institute_of_Technology_Silchar\scores.png,
IR-E-U-0064,Indian Institute of Technology Patna,2023,41,8.34,2023\041_Indian_Institute_of_Technology_Patna\scores.png,
IR-E-U-0334,"Visvesvaraya National Institute of Technology, Nagpur",2023,41,7.12,"2023\041_Visvesvaraya_National_Institute_of_Technology,_Nagpur\scores.png",
IR-E-U-0577,National Institute of Technology Durgapur,2023,43,9.38,2023\043_National_Institute_of_Technology_Durgapur\scores.png,
IR-E-U-0020,Koneru Lakshmaiah Education Foundation University (K L College of Engineering),2023,44,7.29,2023\044_Koneru_Lakshmaiah_Education_Foundation_University_(K_L_College_of_Engineering)\scores.png,
IR-E-C-16604,Sri Sivasubramaniya Nadar College of Engineering,2023,45,6.22,2023\045_Sri_Sivasubramaniya_Nadar_College_of_Engineering\scores.png,
IR-E-U-0374,"Dr. B R Ambedkar National Institute of Technology, Jalandhar",2023,46,6.44,"2023\046_Dr._B_R_Ambedkar_National_Institute_of_Technology,_Jalandhar\scores.png",
IR-E-U-0355,Indian Institute of Technology Bhubaneswar,2023,47,6.41,2023\047_Indian_Institute_of_Technology_Bhubaneswar\scores.png,
IR-E-U-0255,Indian Institute of Space Science and Technology,2023,48,2.95,2023\048_Indian_Institute_of_Space_Science_and_Technology\scores.png,
IR-E-U-0530,Motilal Nehru National Institute of Technology,2023,49,9.00,2023\049_Motilal_Nehru_National_Institute_of_Technology\scores.png,
IR-E-U-0379,Lovely Professional University,2023,50,2.79,2023\050_Lovely_Professional_University\scores.png,
IR-E-U-0622,National Institute of Technology Delhi,2023,51,2.22,2023\051_National_Institute_of_Technology_Delhi\scores.png,
IR-E-U-0249,Visvesvaraya Technological University,2023,52,1.22,2023\052_Visvesvaraya_Technological_University\scores.png,
IR-E-U-0202,Birla Institute of Technology,2023,53,4.92,2023\053_Birla_Institute_of_Technology\scores.png,
IR-E-U-0564,UPES,2023,54,0.52,2023\054_UPES\scores.png,
IR-E-U-0014,International Institute of Information Technology Hyderabad,2023,55,2.34,2023\055_International_Institute_of_Information_Technology_Hyderabad\scores.png,
IR-E-U-0072,National Institute of Technology Patna,2023,56,5.73,2023\056_National_Institute_of_Technology_Patna\scores.png,
IR-E-U-0297,Defence Institute of Advanced Technology,2023,57,2.62,2023\057_Defence_Institute_of_Advanced_Technology\scores.png,
IR-E-U-0172,National Institute of Technology Kurukshetra,2023,58,4.21,2023\058_National_Institute_of_Technology_Kurukshetra\scores.png,
IR-E-U-0844,"Indian Institute of Technology, Tirupati",2023,59,0.38,"2023\059_Indian_Institute_of_Technology,_Tirupati\scores.png",
IR-E-C-6379,Netaji Subhas University of Technology (NSUT),2023,60,7.03,2023\060_Netaji_Subhas_University_of_Technology_(NSUT)\scores.png,
IR-E-C-7252,Manipal Institute of Technology,2023,61,3.83,2023\061_Manipal_Institute_of_Technology\scores.png,
IR-E-U-0555,Graphic Era University,2023,62,3.06,2023\062_Graphic_Era_University\scores.png,
IR-E-C-37013,PSG College of Technology,2023,63,3.06,2023\063_PSG_College_of_Technology\scores.png,
IR-E-I-1441,Saveetha Institute of Medical and Technical Sciences,2023,64,1.15,2023\064_Saveetha_Institute_of_Medical_and_Technical_Sciences\scores.png,
IR-E-U-0149,Sardar Vallabhbhai National Institute of Technology,2023,65,6.37,2023\065_Sardar_Vallabhbhai_National_Institute_of_Technology\scores.png,
IR-E-U-0474,Sathyabama Institute of Science and Technology,2023,66,5.46,2023\066_Sathyabama_Institute_of_Science_and_Technology\scores.png,
IR-E-U-0906,Indian Institute of Technology Jammu,2023,67,0.23,2023\067_Indian_Institute_of_Technology_Jammu\scores.png,
IR-E-U-0389,Banasthali Vidyapith,2023,68,8.23,2023\068_Banasthali_Vidyapith\scores.png,
IR-E-U-0878,Indian Institute of Technology Palakkad,2023,69,0.15,2023\069_Indian_Institute_of_Technology_Palakkad\scores.png,
IR-E-U-0092,"National Institute of Technology, Raipur",2023,70,6.69,"2023\070_National_Institute_of_Technology,_Raipur\scores.png",
IR-E-U-0042,University of Hyderabad,2023,71,5.70,2023\071_University_of_Hyderabad\scores.png,
IR-E-U-0619,National Institute of Technology Meghalaya,2023,72,2.16,2023\072_National_Institute_of_Technology_Meghalaya\scores.png,
IR-E-C-41593,"College of Engineering, Pune",2023,73,1.73,"2023\073_College_of_Engineering,_Pune\scores.png",
IR-E-U-0221,International Institute of Information Technology Bangalore,2023,74,0.88,2023\074_International_Institute_of_Information_Technology_Bangalore\scores.png,
IR-E-U-0105,Indraprastha Institute of Information Technology Delhi,2023,75,3.38,2023\075_Indraprastha_Institute_of_Information_Technology_Delhi\scores.png,
IR-E-U-0749,Manipal University Jaipur,2023,76,0.81,2023\076_Manipal_University_Jaipur\scores.png,
IR-E-C-36995,Sri Krishna College of Engineering and Technology,2023,77,0.74,2023\077_Sri_Krishna_College_of_Engineering_and_Technology\scores.png,
IR-E-C-1331,M. S. Ramaiah Institute of Technology,2023,78,1.98,2023\078_M._S._Ramaiah_Institute_of_Technology\scores.png,
IR-E-U-0535,Rajiv Gandhi Institute of Petroleum Technology,2023,79,2.51,2023\079_Rajiv_Gandhi_Institute_of_Petroleum_Technology\scores.png,
IR-E-U-0284,Maulana Azad National Institute of Technology,2023,80,3.83,2023\080_Maulana_Azad_National_Institute_of_Technology\scores.png,
