institute_id,institute_name,year,ft_year1,pt_year1,total_year1,ft_year2,pt_year2,total_year2,ft_year3,pt_year3,total_year3,Nphd
IR-E-U-0172,National Institute of Technology Kurukshetra,2025,31,37,68,34,11,45,23,24,47,53.3333
IR-E-U-0092,"National Institute of Technology, Raipur",2025,57,28,85,59,26,85,59,21,80,83.3333
IR-E-U-0489,Vel Tech Rangarajan Dr. Sagunthala R & D Institute of Science and Technology,2025,13,57,70,8,39,47,2,39,41,52.6667
IR-E-C-24004,AU College of Engineering (A),2025,112,83,195,101,44,145,33,73,106,148.6667
IR-E-U-0373,Chitkara  University,2025,25,10,35,37,7,44,3,23,26,35
IR-E-U-1257,COEP Technological University,2025,18,26,44,16,18,34,10,27,37,38.3333
IR-E-C-19754,SR University,2025,3,2,5,3,3,6,5,7,12,7.6667
IR-E-U-0297,Defence Institute of Advanced Technology,2025,8,15,23,11,11,22,7,7,14,19.6667
IR-E-U-0078,Panjab University,2025,29,0,29,21,0,21,12,0,12,20.6667
IR-E-U-0017,Jawaharlal Nehru Technological University,2025,12,192,204,8,146,154,11,148,159,172.3333
IR-E-C-30045,"C.V. Raman Global University, Odisha",2025,27,3,30,8,2,10,3,0,3,14.3333
IR-E-U-0267,Atal Bihari Vajpayee Indian Institute of Information Technology and Management,2025,12,0,12,9,0,9,7,0,7,9.3333
IR-E-U-0189,National Institute of Technology Hamirpur,2025,43,6,49,21,7,28,21,7,28,35
IR-E-U-0147,Pandit Deendayal Energy University,2025,10,7,17,4,15,19,3,11,14,16.6667
IR-E-U-0621,National Institute of Technology Puducherry,2025,27,8,35,17,5,22,12,5,17,24.6667
IR-E-C-36995,Sri Krishna College of Engineering and Technology,2025,10,25,35,2,13,15,2,8,10,20
